Survived,Class,Sex,Age,No_of_siblings,No_of_parents,Fare,Embarked
Not Survived,Upper,male,22.0,1,0,7.25,Southampton
Survived,Lower,female,38.0,1,0,71.2833,Cherbourg
Survived,Upper,female,26.0,0,0,7.925,Southampton
Survived,Lower,female,35.0,1,0,53.1,Southampton
Not Survived,Upper,male,35.0,0,0,8.05,Southampton
Not Survived,Upper,male,29.69911764705882,0,0,8.4583,Queenstown
Not Survived,Lower,male,54.0,0,0,51.8625,Southampton
Not Survived,Upper,male,2.0,3,1,21.075,Southampton
Survived,Upper,female,27.0,0,2,11.1333,Southampton
Survived,Middle,female,14.0,1,0,30.0708,Cherbourg
Survived,Upper,female,4.0,1,1,16.7,Southampton
Survived,Lower,female,58.0,0,0,26.55,Southampton
Not Survived,Upper,male,20.0,0,0,8.05,Southampton
Not Survived,Upper,male,39.0,1,4,31.275,Southampton
Not Survived,Upper,female,14.0,0,0,7.8542,Southampton
Survived,Middle,female,55.0,0,0,16.0,Southampton
Not Survived,Upper,male,2.0,4,1,29.125,Queenstown
Survived,Middle,male,29.69911764705882,0,0,13.0,Southampton
Not Survived,Upper,female,31.0,1,0,18.0,Southampton
Survived,Upper,female,29.69911764705882,0,0,7.225,Cherbourg
Not Survived,Middle,male,35.0,0,0,26.0,Southampton
Survived,Middle,male,34.0,0,0,13.0,Southampton
Survived,Upper,female,15.0,0,0,8.0292,Queenstown
Survived,Lower,male,28.0,0,0,35.5,Southampton
Not Survived,Upper,female,8.0,3,1,21.075,Southampton
Survived,Upper,female,38.0,1,4,31.3875,Southampton
Not Survived,Upper,male,29.69911764705882,0,0,7.225,Cherbourg
Not Survived,Lower,male,19.0,3,2,263.0,Southampton
Survived,Upper,female,29.69911764705882,0,0,7.8792,Queenstown
Not Survived,Upper,male,29.69911764705882,0,0,7.8958,Southampton
Not Survived,Lower,male,40.0,0,0,27.7208,Cherbourg
Survived,Lower,female,29.69911764705882,1,0,146.5208,Cherbourg
Survived,Upper,female,29.69911764705882,0,0,7.75,Queenstown
Not Survived,Middle,male,66.0,0,0,10.5,Southampton
Not Survived,Lower,male,28.0,1,0,82.1708,Cherbourg
Not Survived,Lower,male,42.0,1,0,52.0,Southampton
Survived,Upper,male,29.69911764705882,0,0,7.2292,Cherbourg
Not Survived,Upper,male,21.0,0,0,8.05,Southampton
Not Survived,Upper,female,18.0,2,0,18.0,Southampton
Survived,Upper,female,14.0,1,0,11.2417,Cherbourg
Not Survived,Upper,female,40.0,1,0,9.475,Southampton
Not Survived,Middle,female,27.0,1,0,21.0,Southampton
Not Survived,Upper,male,29.69911764705882,0,0,7.8958,Cherbourg
Survived,Middle,female,3.0,1,2,41.5792,Cherbourg
Survived,Upper,female,19.0,0,0,7.8792,Queenstown
Not Survived,Upper,male,29.69911764705882,0,0,8.05,Southampton
Not Survived,Upper,male,29.69911764705882,1,0,15.5,Queenstown
